dataset,trial,shaper,down_limit_mbps,up_limit_mbps,mode,duration_seconds,download_mbps,upload_mbps,idle_google_p95_ms,loaded_google_p95_ms,delta_google_p95_ms,loaded_google_p99_ms,loaded_google_max_ms,modem_p95_ms,google_probes_lost,peak_sampled_core_percent
"cake-upload-map-1789321386","1-500-50","htb",500,50,"upload",30,,48.573518119598596,23.0,9.35,-13.65,10.2,11.2,3.3,0,27
"cake-upload-map-1789321386","2-500-65","htb",500,65,"upload",30,,62.41253398475643,21.6,16.6,-5,32.1,32.3,3.25,0,37
"cake-upload-map-1789321386","3-500-80-retry","htb",500,80,"upload",30,,77.15729310799895,21.3,8.89,-12.41,21.1,22.2,3.12,0,32
"cake-upload-map-1789321386","4-500-90-retry","htb",500,90,"upload",30,,86.45235202501816,19.9,12.0,-7.899999999999999,20.0,29.7,3.13,0,26
"cake-upload-map-1789321386","5-500-90-retry","htb",500,90,"upload",30,,86.24359694625514,19.0,12.6,-6.4,24.7,24.8,3.08,0,27
"cake-upload-map-1789321386","6-500-80-retry","htb",500,80,"upload",30,,74.3981958485454,21.8,28.4,6.599999999999998,44.0,44.4,3.11,0,40
"cake-upload-map-1789321386","7-500-65-retry","htb",500,65,"upload",30,,62.68987236881591,21.7,10.1,-11.6,20.2,23.0,3.16,0,30
"cake-upload-map-1789321386","8-500-50-retry","htb",500,50,"upload",30,,48.2931568099894,20.7,10.6,-10.1,13.4,14.2,3.26,0,31
"cake-upload-ceiling-1789322231","1-500-90","htb",500,90,"upload",30,,78.17148905325986,20.3,67.5,47.2,129.0,137.0,3.16,0,45
"cake-upload-ceiling-1789322231","2-500-95","htb",500,95,"upload",30,,86.83969765639817,21.6,252.0,230.4,290.0,315.0,3.22,0,43
"cake-upload-ceiling-1789322231","3-500-100","htb",500,100,"upload",30,,93.16616843688267,19.6,35.4,15.799999999999997,51.7,54.3,3.16,0,44
"cake-upload-ceiling-1789322231","4-500-100","htb",500,100,"upload",30,,95.716489993034,20.0,21.3,1.3000000000000007,33.8,34.5,3.32,0,36
"cake-upload-ceiling-1789322231","5-500-95","htb",500,95,"upload",30,,91.76891060351686,19.5,13.7,-5.800000000000001,19.4,19.9,3.12,0,33
"cake-upload-ceiling-1789322231","6-500-90","htb",500,90,"upload",30,,79.2532165153071,21.4,115.0,93.6,137.0,144.0,3.15,0,33
"cake-shapers-1789322936","1-htb","htb",500,90,"upload",30,,86.73754065396822,20.4,11.2,-9.2,12.9,13.1,3.14,0,44
"cake-shapers-1789322936","2-native","native",500,90,"upload",30,,85.58210270888294,20.9,9.09,-11.809999999999999,10.1,12.5,3.16,0,41
"cake-shapers-1789322936","3-native","native",500,90,"both",30,408.420215859928,11.845268354192479,22.4,640.0,617.6,700.0,717.0,3.38,0,56
"cake-shapers-1789322936","4-htb","htb",500,90,"both",30,388.18340453566003,57.976161082894166,22.7,218.0,195.3,338.0,364.0,3.58,0,61
"cake-shapers-1789322936","5-htb","htb",500,90,"upload",30,,86.9483187076739,20.3,15.9,-4.4,28.0,33.1,3.14,0,40
"cake-shapers-1789322936","6-native","native",500,90,"upload",30,,85.47672141077786,21.3,9.46,-11.84,11.3,12.1,3.11,0,35
"cake-shapers-1789322936","7-htb","htb",500,90,"both",30,444.7713424837406,72.26625351132606,20.5,50.9,30.4,61.5,61.6,3.37,0,57
"cake-shapers-1789322936","8-native","native",500,90,"both",30,378.74197740281915,10.16790466144513,21.7,492.0,470.3,580.0,648.0,3.39,0,52
"cake-download-map-1789323716","1-300-50","htb",300,50,"download",30,282.13681144842514,,21.1,27.0,5.899999999999999,43.0,61.6,3.24,0,52
"cake-download-map-1789323716","10-300-50","htb",300,50,"download",30,285.69789341700147,,20.5,20.8,0.3000000000000007,70.4,76.8,3.26,0,71
"cake-download-map-1789323716","2-450-50","htb",450,50,"download",30,427.36510941379066,,22.5,26.1,3.6000000000000014,47.2,74.2,3.18,0,58
"cake-download-map-1789323716","3-600-50","htb",600,50,"download",30,432.01380161564185,,20.4,107.0,86.6,181.0,185.0,3.07,1,56
"cake-download-map-1789323716","4-750-50","htb",750,50,"download",30,422.1565850249106,,22.3,206.0,183.7,294.0,309.0,2.99,0,55
"cake-download-map-1789323716","5-900-50","htb",900,50,"download",30,685.8386090666668,,20.8,207.0,186.2,313.0,332.0,4.22,0,56
